time_us,reduced_photon_number,full_meanfield_photon_number
5.269999999999999574e+00,7.248716972343967200e+02,7.248157569323036569e+02
5.274999999999999467e+00,7.788088634838775306e+02,7.787500887871043460e+02
5.279999999999999361e+00,8.355894833847954715e+02,8.355281614942584838e+02
5.284999999999999254e+00,8.950290766856725213e+02,8.949656290564420260e+02
5.289999999999999147e+00,9.568555077311981449e+02,9.567904987686098366e+02
5.294999999999999041e+00,1.020696803368373480e+03,1.020630969367220587e+03
5.299999999999998934e+00,1.086070027125491379e+03,1.086004306238625759e+03
5.304999999999998828e+00,1.152372198764337782e+03,1.152307739142871696e+03
5.309999999999998721e+00,1.218874450666419079e+03,1.218812562668730379e+03
5.314999999999999503e+00,1.284720620662088777e+03,1.284662265608087182e+03
5.319999999999999396e+00,1.348931765255599430e+03,1.348877760258518947e+03
5.324999999999999289e+00,1.410417747323824415e+03,1.410369342229141921e+03
5.329999999999999183e+00,1.467997032472695764e+03,1.467955493193443317e+03
5.334999999999999076e+00,1.520425277793044415e+03,1.520391743787218502e+03
5.339999999999998970e+00,1.566432772482796281e+03,1.566408371489884530e+03
5.344999999999999751e+00,1.604769905426952846e+03,1.604755525098314365e+03
5.349999999999999645e+00,1.634259063266773182e+03,1.634255271877538462e+03
5.354999999999999538e+00,1.653850247922015569e+03,1.653857367112386555e+03
5.359999999999999432e+00,1.662676997135019974e+03,1.662695054974823506e+03
5.364999999999999325e+00,1.660108526373424866e+03,1.660137334257068460e+03
5.369999999999999218e+00,1.645793640833944892e+03,1.645832779100568814e+03
5.374999999999999112e+00,1.619692480989571322e+03,1.619741214534005621e+03
5.379999999999999005e+00,1.582092621702316592e+03,1.582150142328562424e+03
5.384999999999998899e+00,1.533607360443045991e+03,1.533673113093186657e+03
5.389999999999998792e+00,1.475155586004023462e+03,1.475228649481393632e+03
5.394999999999999574e+00,1.407924260266540614e+03,1.408003270962835131e+03
5.399999999999999467e+00,1.333316191171476248e+03,1.333399846977273910e+03
5.404999999999999361e+00,1.252887106367866409e+03,1.252974003597009414e+03
5.409999999999999254e+00,1.168276826018101701e+03,1.168365575420779351e+03
5.414999999999999147e+00,1.081139699247585213e+03,1.081228974973267213e+03
5.419999999999999041e+00,9.930791039217128855e+02,9.931675979294591343e+02
5.424999999999998934e+00,9.055901032454520418e+02,9.056765537909295745e+02
5.429999999999998828e+00,8.200132074905073978e+02,8.200964841576784465e+02
5.434999999999999609e+00,7.375009822478621118e+02,7.375801438196400568e+02
5.439999999999999503e+00,6.589979447672167225e+02,6.590722382652992337e+02
5.444999999999999396e+00,5.852331270666371665e+02,5.853019382435070384e+02
5.449999999999999289e+00,5.167238431699583998e+02,5.167868159926620137e+02
5.454999999999999183e+00,4.537885981401525441e+02,4.538455665318768979e+02
5.459999999999999076e+00,3.965668478593381678e+02,3.966177959767737775e+02
5.464999999999998970e+00,3.450432666678811415e+02,3.450883273296234961e+02
5.469999999999998863e+00,2.990743579420529272e+02,2.991137796496172996e+02
5.474999999999999645e+00,2.584155600791067400e+02,2.584496785665290304e+02
5.479999999999999538e+00,2.227473570851476268e+02,2.227765788146901116e+02
5.484999999999999432e+00,1.916993000380211640e+02,1.917240671923568698e+02
5.489999999999999325e+00,1.648712197404120730e+02,1.648919874480001795e+02
5.494999999999999218e+00,1.418512349213047514e+02,1.418684670171138578e+02
5.499999999999999112e+00,1.222304402668770678e+02,1.222445777567282192e+02
5.504999999999999005e+00,1.056143542631501475e+02,1.056258074333683226e+02
5.509999999999998899e+00,9.163136319883078329e+01,9.164050498253284616e+01
5.514999999999998792e+00,7.993849406739660424e+01,7.994566228767531868e+01
5.519999999999998685e+00,7.022489255425460897e+01,7.023039151019291637e+01
5.524999999999999467e+00,6.221340923988460503e+01,6.221750113219835043e+01
5.529999999999999361e+00,5.566067678577513789e+01,5.566358516304750026e+01
5.534999999999999254e+00,5.035604228771755686e+01,5.035795904456009708e+01
5.539999999999999147e+00,4.611967384719182661e+01,4.612075996440498926e+01
5.544999999999999041e+00,4.280012002362124690e+01,4.280050231359370372e+01
5.549999999999998934e+00,4.027155205783082437e+01,4.027133448483648692e+01
5.554999999999999716e+00,3.843087594910603855e+01,3.843014493289390998e+01
5.559999999999999609e+00,3.719485719409411928e+01,3.719367711349210026e+01
5.564999999999999503e+00,3.649736715763996386e+01,3.649578500961669647e+01
5.569999999999999396e+00,3.628682369060615542e+01,3.628487492038772189e+01
5.574999999999999289e+00,3.652387530865593845e+01,3.652158269606994878e+01
5.579999999999999183e+00,3.717935421398676965e+01,3.717672954751053993e+01
5.584999999999999076e+00,3.823250515246596137e+01,3.822955350825647258e+01
5.589999999999998970e+00,3.966948767995374681e+01,3.966620873815837456e+01
5.594999999999998863e+00,4.148213632712060672e+01,4.147852584114674102e+01
5.599999999999998757e+00,4.366696002181154768e+01,4.366300822762216427e+01
5.604999999999998650e+00,4.622435464703667662e+01,4.622004997700860685e+01
5.609999999999998543e+00,4.915800597942838124e+01,4.915333398605357473e+01
5.614999999999999325e+00,5.247445488843469974e+01,5.246940311718216066e+01
5.619999999999999218e+00,5.618280056395649780e+01,5.617735588296229565e+01
5.624999999999999112e+00,6.029451995111851659e+01,6.028866247832760195e+01
5.629999999999999893e+00,6.482337980487692164e+01,6.481708521703876613e+01
5.634999999999999787e+00,6.978542412720010191e+01,6.977866817618568973e+01
5.639999999999999680e+00,7.519902151620451036e+01,7.519178004680802019e+01
5.644999999999999574e+00,8.108495560129865964e+01,8.107720912547880232e+01
5.649999999999999467e+00,8.746654785130454002e+01,8.745826941119393894e+01
5.654999999999999361e+00,9.436980349095111364e+01,9.436095856477814436e+01
5.659999999999999254e+00,1.018235697516399227e+02,1.018141184794922651e+02
5.664999999999999147e+00,1.098596983244485727e+02,1.098495977892269764e+02
5.669999999999999041e+00,1.185132063519285879e+02,1.185024120990904066e+02
5.674999999999998934e+00,1.278224280281215215e+02,1.278108957077867274e+02
5.679999999999998828e+00,1.378291495576326611e+02,1.378168280508903081e+02
5.684999999999998721e+00,1.485787197327655633e+02,1.485655493872926343e+02
5.689999999999998614e+00,1.601201271042904182e+02,1.601060278262173995e+02
5.694999999999998508e+00,1.725060364588250366e+02,1.724909388929245608e+02
5.699999999999998401e+00,1.857927691224598163e+02,1.857765936348215519e+02
5.704999999999999183e+00,2.000402194323335152e+02,2.000228523394072226e+02
5.709999999999999964e+00,2.153116827443392935e+02,2.152930487660363497e+02
5.714999999999999858e+00,2.316735854146191969e+02,2.316535904628431126e+02
5.719999999999999751e+00,2.491950906681077527e+02,2.491735762691225489e+02
5.724999999999999645e+00,2.679475587771095206e+02,2.679244864424208572e+02
5.729999999999999538e+00,2.880038263412523634e+02,2.879791332680051141e+02
5.734999999999999432e+00,3.094372839705115439e+02,3.094108981181731792e+02
5.739999999999999325e+00,3.323207141812115992e+02,3.322925250130427912e+02
5.744999999999999218e+00,3.567248510432834792e+02,3.566947617499691319e+02
5.749999999999999112e+00,3.827166266275194744e+02,3.826845573696263614e+02
5.754999999999999005e+00,4.103570711835220095e+02,4.103229550355247284e+02
5.759999999999998899e+00,4.396988270690789022e+02,4.396626174296312115e+02
5.764999999999998792e+00,4.707832511602844647e+02,4.707449609640348740e+02
5.769999999999998685e+00,5.036370835137769859e+02,5.035967356085452025e+02
5.774999999999998579e+00,5.382686770911466283e+02,5.382263179904921344e+02
5.779999999999998472e+00,5.746638020684537196e+02,5.746195078101211493e+02
5.784999999999999254e+00,6.127810613100562023e+02,6.127349631871702513e+02
5.789999999999999147e+00,6.525469846466520494e+02,6.524992809579437107e+02
5.794999999999999929e+00,6.938509174217291502e+02,6.938018725956032995e+02
5.799999999999999822e+00,7.365398606795763499e+02,7.364898219734974418e+02
5.804999999999999716e+00,7.804134615010034395e+02,7.803629117937691717e+02
5.809999999999999609e+00,8.252194371044738546e+02,8.251690451286792722e+02
5.814999999999999503e+00,8.706497411950280139e+02,8.706000866962874625e+02
5.819999999999999396e+00,9.163378909529378689e+02,9.162895495034332498e+02
5.824999999999999289e+00,9.618577881845091042e+02,9.618113953167764976e+02
5.829999999999999183e+00,1.006724563923007054e+03,1.006680849319912227e+03
5.834999999999999076e+00,1.050397845596908610e+03,1.050357590682760019e+03
5.839999999999998970e+00,1.092287809710650208e+03,1.092251794649875592e+03
5.844999999999998863e+00,1.131764376608057319e+03,1.131733122597855981e+03
5.849999999999998757e+00,1.168169671307030967e+03,1.168143600273729362e+03
5.854999999999998650e+00,1.200833743092461873e+03,1.200813463631894820e+03
5.859999999999998543e+00,1.229093263694727966e+03,1.229079369157155497e+03
5.864999999999999325e+00,1.252312706271229899e+03,1.252305607580868582e+03
5.869999999999999218e+00,1.269907177589638877e+03,1.269907151360288708e+03
5.874999999999999112e+00,1.281365837940291840e+03,1.281372998010572474e+03
5.879999999999999005e+00,1.286274642958758250e+03,1.286288883727042958e+03
5.884999999999999787e+00,1.284336997204023874e+03,1.284358026293821467e+03
5.889999999999999680e+00,1.275390864011950953e+03,1.275418267197569321e+03
5.894999999999999574e+00,1.259421092972950419e+03,1.259454404247969933e+03
5.899999999999999467e+00,1.236565812431834956e+03,1.236605021150482571e+03
5.904999999999999361e+00,1.207116233836610490e+03,1.207160995474892616e+03
5.909999999999999254e+00,1.171509599139448028e+03,1.171559231920974526e+03
5.914999999999999147e+00,1.130315518055305347e+03,1.130369356140202399e+03
5.919999999999999041e+00,1.084216422066145469e+03,1.084273789680868504e+03
